from_passage	to_passage	choice_description	bard_choice
1	3	Continue with spoilers	Y
1	36	No spoilers	
1	22	Learn about author	
1	2	Ignore the choices	
2	1	Try again	
3	36	Choose a character	Y
4	5	Drink protein shake	
5	6	Clean your room	
6	7	Go have fun	
7	8	Finish workout	
8	9	Nurse answers	Y
8	9	Hesitate	
9	10	Ask what they want to discuss	Y
9	418	Rooster testical context	
10	25	Run and never look back	
10	11	Yes, mom	Y
11	25	Run and never look back	
11	12	Yes, mom	Y
12	13	Yes, mom	Y
12	44	No, mom	
13	51	Be Romeo, crash party	Y
14	28	Talk about breakfast	Y
14	20	Talk about love	
15	36	Choose a character	
16	32	Eat breakfast	
17	38	Go to breakfast	
18	52	Impossible to forget her	Y
18	39	Try to forget her	
19	50	Say you can read	Y
19	37	Say you're illiterate	
20	48	Talk about love more	
20	38	Talk over breakfast	
21	14	Talk to Benvolio	
22	15	Learn about OTHER author	
22	475	Learn about artists	
23	54	Follow parents	
23	30	Follow Capulets	
24	49	Forget about Rosaline	
24	35	Fake your death	
25	46	Go to Romeo District	
25	33	Return home	
26	32	Eat breakfast	
27	14	Talk to Benvolio	Y
27	21	Hide in the garbage	
28	17	Ask about vest	
28	38	Ask about blood (breakfast)	
28	48	Talk about love	Y
29	52	Impossible to forget her	
29	39	Try to forget her	
30	42	Disguise as a maid	
30	55	Disguise as a wall	
31	THE END	Finish the story	
32	40	Learn about eating	
32	23	Keep talking	
33	58	Join the party	
34	45	Arrive at breakfast	
35	59	Time passes	
36	4	Be Juliet	
36	27	Be Romeo	Y
37	45	Arrive at breakfast	
38	16	Plan to kill all the Capulets	
38	26	Plan to marry all the Capulets	
39	24	Go to Friar's house	
40	23	Talk and breathe	
40	31	Choke and suffocate	
41	79	Rock	
41	60	Paper	
41	67	Scissors	
42	89	Clean Capulet's room	
42	56	Clean another room	
43	51	Go to the party	
44	58	Join party	
45	16	Plan to kill all the Capulets	
45	26	Plan to marry all the Capulets	
46	57	Examine dudes	
46	75	Ignore dudes	
47	62	Time passes	
48	29	Tell about Rosiline	
48	18	Class it up about Rosiline	Y
49	THE END	Finish the story	
50	43	Go to the party for Rosaline	
50	34	Skip the party b/c Rosaline	
50	8	Get stuff done as Juliet	Y
51	73	Listen to Mercutio	Y
